treatment,participant,session,earnings,lospade_max,max1,choice1,max2,choice2,max3,choice3,max4,choice4,max5,choice5,max6,choice6,max7,choice7,experience,exp_group,gender,math,school,is_econ,native,nationality,age
"Post+Amount",144,62,3.95,0,0,"4club",0,"3diamond",0,"4spade",0,"Jclub",0,"Aspade",0,"4diamond",1,"5diamond",0,"None","Female","NonMath","LAW",0,"Native","GBR",19
"Post+Amount",145,71,5.7,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"5diamond",11,"Much","Female","NonMath","ENV",0,"NonNative","VNM",38
"Post+Amount",146,71,5.7,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"5diamond",11,"Much","Male","Decline","CMP",0,"NonNative","JOR",35
"Post+Amount",147,71,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",11,"Much","Male","Math","MTH",0,"Native","GBR",21
"Post+Amount",148,71,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"2spade",13,"Much","Female","Math","BIO",0,"Native","GBR",20
"Post+Amount",149,71,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",12,"Much","Male","Math","ENV",0,"Native","GBR",20
"Post+Amount",150,71,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",10,"Much","Female","Math","ECO",1,"Native","GBR",21
"Post+Amount",151,71,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",16,"Much","Female","Math","ENV",0,"Native","GBR",27
"Post+Amount",152,71,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",10,"Much","Female","Math","PPL",0,"Native","GBR",21
"Pre+Amount",1,11,6,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",0,"4diamond",1,"5diamond",0,"None","Female","Decline","NBS",0,"Native","GBR",20
