treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_0937,5,3,blue,10,90,miss,low
independent,140311_0937,6,3,blue,9,90,miss,low
independent,140311_0937,7,3,blue,4,90,miss,low
independent,140311_0937,8,3,blue,3,90,miss,low
independent,140311_0937,9,3,blue,3,90,miss,low
independent,140311_0937,2,4,yellow,6,26,miss,low
independent,140311_0937,3,4,yellow,6,26,miss,low
independent,140311_0937,4,4,yellow,3,26,miss,low
independent,140311_0937,5,4,yellow,10,26,miss,low
independent,140311_0937,6,4,yellow,8,26,miss,low
independent,140311_0937,7,4,yellow,4,26,miss,low
independent,140311_0937,8,4,yellow,3,26,miss,low
independent,140311_0937,9,4,yellow,3,26,miss,low
independent,140311_0937,2,5,yellow,1,2,miss,low
independent,140311_0937,3,5,yellow,6,2,miss,low
independent,140311_0937,4,5,yellow,3,2,miss,low
independent,140311_0937,5,5,yellow,10,2,miss,low
independent,140311_0937,6,5,yellow,5,2,miss,low
independent,140311_0937,7,5,yellow,4,2,miss,low
independent,140311_0937,8,5,yellow,4,2,miss,low
independent,140311_0937,9,5,yellow,3,2,miss,low
independent,140311_0937,2,6,blue,7,6,miss,low
independent,140311_0937,3,6,blue,1,6,miss,low
independent,140311_0937,4,6,blue,3,6,miss,low
independent,140311_0937,5,6,blue,10,6,miss,low
independent,140311_0937,6,6,blue,7,6,miss,low
independent,140311_0937,7,6,blue,4,6,miss,low
independent,140311_0937,8,6,blue,10,6,miss,low
independent,140311_0937,9,6,blue,3,6,miss,low
independent,140311_0937,2,7,yellow,4,49,miss,low
independent,140311_0937,3,7,yellow,1,49,miss,low
independent,140311_0937,4,7,yellow,2,49,miss,low
independent,140311_0937,5,7,yellow,1,49,miss,low
independent,140311_0937,6,7,yellow,10,49,miss,low
independent,140311_0937,7,7,yellow,4,49,miss,low
independent,140311_0937,8,7,yellow,4,49,miss,low
independent,140311_0937,9,7,yellow,3,49,miss,low
independent,140311_0937,2,8,blue,2,74,miss,low
independent,140311_0937,3,8,blue,1,74,miss,low
independent,140311_0937,4,8,blue,3,74,miss,low
independent,140311_0937,5,8,blue,1,74,miss,low
independent,140311_0937,6,8,blue,1,74,miss,low
independent,140311_0937,7,8,blue,4,74,miss,low
independent,140311_0937,8,8,blue,4,74,miss,low
independent,140311_0937,9,8,blue,3,74,miss,low
independent,140311_0937,2,9,yellow,1,44,miss,low
independent,140311_0937,3,9,yellow,1,44,miss,low
independent,140311_0937,4,9,yellow,3,44,miss,low
independent,140311_0937,5,9,yellow,10,44,miss,low
independent,140311_0937,6,9,yellow,1,44,miss,low
independent,140311_0937,7,9,yellow,4,44,miss,low
independent,140311_0937,8,9,yellow,5,44,miss,low
independent,140311_0937,9,9,yellow,3,44,miss,low
independent,140311_0937,2,10,blue,1,79,miss,low
independent,140311_0937,3,10,blue,10,79,miss,low
independent,140311_0937,4,10,blue,2,79,miss,low
independent,140311_0937,5,10,blue,1,79,miss,low
independent,140311_0937,6,10,blue,10,79,miss,low
independent,140311_0937,7,10,blue,4,79,miss,low
independent,140311_0937,8,10,blue,6,79,miss,low
independent,140311_0937,9,10,blue,3,79,miss,low
independent,140311_1047,2,1,yellow,8,15,miss,high
independent,140311_1047,3,1,yellow,3,15,miss,high
independent,140311_1047,4,1,yellow,1,15,miss,high
